INDEX,Bsku,Manufac,Name,Flavor,Size,Minimum
00138,09234,*Kewee,Oil 12pc Display,,2oz,1/6
00139,09400,Darbee,3 In 1 Comb #901,,,12/288
00140,09402,Darbee,3 In 1 Mini Comb #902,,,12/288
00141,09406,Darbee,3 In 1 Bendy Comb #903,,,12/288
00142,09408,Darbee,Wave Comb #904,,,12/288
00143,09410,Darbee,Cutting Comb #905,,,12/288
00144,09414,Darbee,Rat Tail Comb #907,,,12/288
00145,09416,Darbee,Palm Pik #908,,,12/288
00146,09418,Darbee,Claw Pik #909,,,12/288
00147,09420,Darbee,Fluff Comb #910,,,12/288
00148,09422,Darbee,Double Pik Comb #911,,,12/288
00149,09426,Darbee,Wet Comb #913,,,12/288
00150,09620,*Patti Labelle,Spray .5oz 24pc Display,,,1
00151,10000,SoftSheen•Carson,Curling Iron,1/2'' #2010,,4
00152,10005,SoftSheen•Carson,Curling Iron,3/4'' #2011,,4
00153,10010,SoftSheen•Carson,Curling Iron,"1/4"" #2012",,4
00154,10015,SoftSheen•Carson,Straightening Comb #2013,,,4
00155,10020,SoftSheen•Carson,Iron #2014,,,4
00156,10158,Gold 'N Hot,"3/4"" Titanium Sping Curling Iron #3111",,,12
00157,10118,Gold 'N Hot Professional,"1"" Straightener #3001",,,12
00158,10160,Gold 'N Hot,"1-1/4"" Titanium Spring Curling Iron #3110",,,12
00159,10116,Gold 'N Hot Professional,1600 Watt Dryer #3202,,,12
00160,10147,Gold 'N Hot Professional,1875 Watt Styler Dryer #2275,,,12
00161,10152,Gold 'N Hot,Titanium 1875 Watt Dryer #3208,,,12
00162,10107,Gold 'N Hot Professional,2pc Comb Set #9365,,,12
00163,10169,Gold 'N Hot Professional,Bonnet Dry Attachment #9477,,,48
00164,10230,Gold 'N Hot Professional,Ceramic 1'' Straightening Iron #2144,,,12
00165,10262,Gold 'N Hot Professional,"Ceramic 1"" Digital Straightener #2166",,,12
00166,10238,Gold 'N Hot Professional,"Ceramic 1"" Straight 'n Curl #2140",,,12
00167,10224,Gold 'N Hot Professional,"Ceramic 1"" Straight 'n Curl #2170",,,12
00168,10266,Gold 'N Hot Professional,"Ceramic 1"" Straightener #2027",,,12
00169,10241,Gold 'N Hot Professional,"Ceramic 1-1/4"" Curling Iron #2141",,,12
00170,10257,Gold 'N Hot Professional,Ceramic 2'' Curling Iron #2163,,,12
00171,10247,Gold 'N Hot Professional,"Ceramic 2"" Flat Iron #2143",,,12
00172,10233,Gold 'N Hot Professional,Ceramic 2-1/4'' Straightening Iron #2145,,,12
00173,10264,Gold 'N Hot Professional,"Ceramic 2-1/4"" Straightener #2167",,,12
00174,10259,Gold 'N Hot Professional,Ceramic Adjustable Straightening #2161,,,12
00175,10226,Gold 'N Hot Professional,Ceramic Dryer 1875 Watt #2259,,,12
00176,10200,Gold 'N Hot Professional,Ceramic Iron 5/8'' #2147,,,12
00177,10203,Gold 'N Hot Professional,Ceramic Iron 3/4'' #2148,,,12
00178,10600,Palmer's,Astringent Lotion,,8.5oz,12
00179,10602,Palmer's,Cocoa Butter Jar,,7.25oz,6/12
00180,10603,Palmer's,Cocoa Butter Jar 25% Free,,4.4oz ,6/12
00181,10607,Palmer's,Cocoa Butter Jar 30% Free,,9.5oz,12
00182,10608,Palmer's,Skin Success Regular 25% Free,,3.4oz ,12
00183,10614,Palmer's,Skin Success Cream Jar 2.7oz w/free Skin Success Soap,Regular,,12
00184,10615,Palmer's,Skin Success Soap,,3.5oz,6/12
00185,10616,Palmer's,Skin Success Soap 40% Free,,4.7oz ,6/12
00186,10618,Palmer's,Skin Success Moisturizing Lotion,,8.5oz,6/12
00187,10620,Palmer's,Cocoa Butter Soap 33% Free,,4.7oz ,12
00188,10622,Palmer's,Shea Butter Jar,,3.5oz,6/12
00189,10623,Palmer's,Shea Butter Lotion,,8.5oz,6/12
00190,10626,Palmer's,Hair Success Treatment 25% more Free,,4.4oz,12
00191,10628,Palmer's,Cocoa Butter Lotion,,8.5oz+3.5oz,6/12
00192,10632,Palmer's,Fragrance Free Lotion,,8.5oz+3.5oz,6/12
00193,10635,Palmer's,Shea Butter Lotion,,8.5oz+3.5oz,6/12
00194,10638,Palmer's,Hair Success Gro Treatment,,9.4oz,12
00195,10641,Palmer's,Shea Butter Soap 33% Free,,4.7oz ,6/12
00196,10643,Palmer's,Shea Butter Jar  25% free,,4.4oz,12
00197,10645,Palmer's,Skin Success Fade Milk,,8.5oz,12
00198,10646,Palmer's,Cocoa Butter Body Scrub,,7oz,6
00199,10654,Palmer's,Olive Butter Lotion ,,8.5oz,6
00200,10672,Palmer's,Skin Success Oily 25% Free,,3.4oz ,12
00201,10674,Palmer's,Skin Success Dry 25% Free,,3.4oz ,12
00202,10678,Palmer's,Skin Success Cream Jar 2.7oz w/free Skin Success Soap,Oily,,12
00203,10680,Palmer's,Skin Success Cream Jar 2.7oz w/free Skin Success Soap,Dry,,12
00204,10681,Palmer's,Skin Success Oily 25% Free,,3.4oz ,12
00205,11505,African Pride,"Hair, Scalp & Skin Oil",,8oz,12
00206,11508,African Pride,"Hair, Scalp & Skin Mist",,8oz,12
00207,11510,African Pride,Magical Gro Herbal,,5.3oz,12
00208,11515,African Pride,Leave-In Conditioner,,8oz+4oz,12
00209,11520,African Pride,Magical Gro Oil,,5.3oz,12
00210,11525,African Pride,Braid Sheen Spray Regular,,12oz,3/12
00211,11530,African Pride,Hair & Scalp Spray,,8oz+4oz,12
00212,11535,African Pride,Shampoo & Conditioner,,12oz,12
00213,11545,African Pride,Magical Gro Maximum Herbal,,5.3oz,12
00214,11550,African Pride,Miracle Cream,,5.3oz,12
00215,11553,African Pride,Multi-Length Texturizing Kit,,,12
00216,11555,African Pride,No Lye Relaxer Kit w/African Herbs Regular,Regular,,12
00217,11558,African Pride,No Lye Relaxer Kit Rosemary & Jasmine Sensitive,Rosemary & Jasmine Sensitive,,12
00218,11560,African Pride,Castor & Mink Oil,,5.3oz,12
00219,11565,African Pride,Oil Moisturizing Treatment,,12oz,12
00220,11575,African Pride,Braid Sheen Spray,,16oz,12
00221,11580,African Pride,Braid Sheen Spray Extra Shine,,12oz,12
00222,11589,African Pride,No Lye Relaxer Kit w/African Herbs Super,Super,,12
00223,11590,African Pride,Braid Sheen Spray w/Tea Tree & Peppermint Oil,,12oz,12
00224,11594,African Pride,No Base Relaxer Jar Regular,Regular,14.1oz,12
00225,11596,African Pride,No Base Relaxer Jar Super,Super,14.1oz,12
00226,11662,African Pride,A.P. Authentic Comb-Thru Texturizer Kit,,,12
00227,11664,African Pride,A.P. Authentic Wave Pomade,,5.3oz,12
00228,11666,African Pride,A.P. Authentic Gro Fast,,8.45oz,12
00229,11668,African Pride,A.P. Authentic Braid Spray,,8.45oz,12
00230,11680,African Pride,Conditioner Carrot & Vit E ,,5.3oz,12
00231,11692,African Pride,Conditioner Olive & Rosemary ,,5.3oz,12
00232,12402,Clubman,After Shave,,6oz,12
00233,12470,Jeris,Hair Tonic with Oil,,14oz,12
00234,12481,Gigi,Strip Free Microwave Kit,,,6/24
00235,12484,Gigi,Tweezeless Wax Regular,,1oz,24
00236,12485,Gigi,Tweezeless Wax Microwavable,,1oz,24
00237,12486,Gigi,Tweezeless Wax Sensitive,,1oz,24
00238,12492,Gigi,Economy Wax Warmer,,,2
00239,12702,Surge,Lotion Motion #9,,8oz,12
00240,12704,Surge,Woojee Cream 8oz,,8oz,12
00241,12705,Surge,Hair & Braid Deodorizer,,6oz,12
00242,12706,Surge,Power Wash Shampoo,,12oz,12
00243,13024,Clear Essence,Complexion Soap,,5oz,12
00244,13030,Clear Essence,Skin Beautifying Milk,,8oz,24
00245,13032,Clear Essence,Medicated Fade Cream,,4oz,6/36
00246,13570,Pretty Nails,Nail Polish Remover Regular,,6oz,12
00247,13572,Pretty Nails,Nail Polish Remover Lemon,,6oz,12
00248,14100,Doo Gro,Vitalizer Extra Light Original,,4oz,12
00249,14105,Doo Gro,Vitalizer Triple Strength,,4oz,12
00250,14110,Doo Gro,Vitalizer Anti-Itch,,4oz,12
00251,14115,Doo Gro,Vitalizer Creme Complex,,4oz,12
00252,14118,Doo Gro,Vitalizer Mega Thick,,4oz,12
00253,14120,Doo Gro,Stimulate Growth Oil,,4.5oz,12
00254,14122,Doo Gro,Anti-Itch Growth Oil,,4.5oz,12
00255,14124,Doo Gro,Mega Thick Growth Oil,,4.5oz,12
00256,14125,Doo Gro,Growth Tingle Shampoo,,10oz,12
00257,14130,Doo Gro,Growth Repair Conditioner,,10oz,12
00258,14132,Doo Gro,Triple Strength Growth Detangler,,10oz,12
00259,14135,Doo Gro,Growth Leave-In Conditioner,,10oz,12
00260,14138,Doo Gro,Growth Moist Shampoo,,10oz,12
00261,14140,Doo Gro,Deep Down Intense Conditioner,,8oz,12
00262,14148,Doo Gro,Hair Polisher Mist,,4.5oz,12
00263,14160,Doo Gro,Mega Thick Shampoo,,10oz,12
00264,14162,Doo Gro,Mega Thick Conditioner,,10oz,12
00265,14170,*Doo Gro,Smooth & Straight Relaxer 18pc Display,,,1
00266,14172,Doo Gro,Smooth & Straight Kit Regular,Regular,,12
00267,14174,Doo Gro,Smooth & Straight Kit Super,Super,,12
00268,14201,Dark & Lovely,Hair Color Natural Black #372,,,3/12
00269,14211,Magic,Shaving Powder Blue #15,,5oz,12
00270,14212,Magic,Shaving Powder Red #16,,5oz,12
00271,14213,Magic,Shaving Powder Gold #11,,4.5oz,12
00272,14224,Dr. Fred Summit,Skin Whitener #202,,2oz,12
00273,14235,Magic,Shaving Powder Platinum #12,,4.5oz,12
00274,14240,Magic,Razorless Cream Shave Smooth,,6oz,6
00275,14248,Dark & Lovely,Relaxer Kit Regular,Regular,,3/6
00276,14253,Dark & Natural,Hair Color Jet Black #31,,,3/12
00277,14254,Dark & Natural,Hair Color Natural Black #32,,,3/12
00278,14276,Magic,Razorless Cream Shave Original,,6oz,6
00279,14280,Dark & Lovely,Relaxer Kit Super,Super,,3/6
00280,14282,Magic,Razorless Cream Shave Mild,,6oz,6
00281,14293,Dark & Lovely,Beautiful Beginnings Relaxer Kit Original,Original,,3/6
00282,14294,Dark & Lovely,Beautiful Beginnings Relaxer Kit Fine,Fine,,6
00283,14351,Dark & Lovely,Moisture Seal 3-n-1 Conditioning Shampoo,,13.5oz,6
00284,14352,Dark & Lovely,Moisture Seal Instant Conditioner,,13.5oz,6
00285,14353,Dark & Lovely,Moisture Seal Oil Moisturizer,,8.5oz,6
00286,14354,Dark & Lovely,Moisture Seal Leave In Mist,,8.5oz,6
00287,14355,Dark & Lovely,Moisture Seal Deep Condition,,8.5oz,6
00288,14361,SoftSheen•Carson,Hi Rez Hair Color Cafe Ole #10,,,12
00289,14362,SoftSheen•Carson,Hi Rez Hair Color Mahogany #20,,,12
00290,14363,SoftSheen•Carson,Hi Rez Hair Color Brazen Bronze #30,,,12
00291,14364,SoftSheen•Carson,Hi Rez Hair Color Copper #43,,,12
00292,14365,SoftSheen•Carson,Hi Rez Hair Color Volcano  #44,,,12
00293,14366,SoftSheen•Carson,Hi Rez Hair Color Cinnamon #46,,,12
00294,14367,SoftSheen•Carson,Hi Rez Hair Color Sonic Spice #50,,,12
00295,14368,SoftSheen•Carson,Hi Rez Hair Color Amber Twist #60,,,12
00296,14369,SoftSheen•Carson,Hi Rez Hair Color Scarlet #64,,,12
00297,14370,SoftSheen•Carson,Hi Rez Hair Color Ruby Quake #66,,,12
00298,14373,SoftSheen•Carson,Hi Rez Hair Color Gold Fusion #74,,,12
00299,14374,SoftSheen•Carson,Hi Rez Hair Color Blonde Burst #101,,,12
00300,14375,SoftSheen•Carson,Hi Rez Hair Color Crystal Blonde #110 ,,,12
00301,14405,Dark & Lovely,Reviving Colors Radiant Black #391,,,3/12
00302,14407,Dark & Lovely,Reviving Colors Ebony #392,,,3/12
00303,14409,Dark & Lovely,Reviving Colors Auburn #393,,,3/12
00304,14411,Dark & Lovely,Reviving Colors Natural Black #395,,,3/12
00305,14413,Dark & Lovely,Reviving Colors Ravishing Red #394,,,3/12
00306,14450,Dark & Lovely,Color Flash Hair Color,Orange Candy #12,,6
00307,14452,Dark & Lovely,Color Flash Hair Color,Red Pop  #20,,6
00308,14454,Dark & Lovely,Color Flash Hair Color,Copper Burst #14,,6
00309,14456,Dark & Lovely,Color Flash Hair Color,Cinnamon #16,,6
00310,14458,Dark & Lovely,Color Flash Hair Color,Raspberry  #22,,6
00311,14460,Dark & Lovely,Color Flash Hair Color,Ginger Swirl #18,,6
00312,14462,Dark & Lovely,Color Flash Hair Color,Plum Baby #24,,6
00313,14940,*Dr. Miracle's,No Lye Relaxer 16pc Display,,,1
00314,14970,*Dr. Miracle's,Hair Meds 24pc Display,,,1
00315,15205,Dermisa,Skin Fade Cream,,1.78oz,144
00316,15207,Dermisa,Glycerin Facial Bar,,3oz,96
00317,15209,Dermisa,Stretch Mark Cream,,4oz,24
00318,15211,Dermisa,Anti-Wrinkle Cream,,1.5oz,24
00319,15402,Twists 'N Locs,Protein Formula,,8oz,12
00320,15403,Twists 'N Locs,Natural Chocolate Formula,,8oz,12
00321,15409,Twists 'N Locs,Natural Honey Locking Formula,,8oz,12
00322,15410,Twists 'N Locs,Honeywax Black,,8oz,12
00323,15412,Twists 'N Locs,Honeywax Super Brown,,8oz,12
00324,15414,Twists 'N Locs,Honeywax Brown,,8oz,12
00325,15418,Twists 'N Locs,Natural Oil Free Sheen,,4oz,12
00326,15420,Twists 'N Locs,Natural Growth Formula,,4oz,12
00327,16614,Eboline,Petroleum Jelly,,8oz,12
00328,16619,Africa's Best,Cholesterol,,15oz+ 3oz,12
00329,16620,Africa's Best,No-Lye Relaxer Kit Regular,Regular,,12
00330,16621,Africa's Best,No-Lye Relaxer Kit Super,Super,,12
00331,16625,Africa's Best,Originals Hair Mayonnaise,,15oz,12
00332,16627,Africa's Best,Originals Carrot Tea Tree Oil Therapy,,6oz,12
00333,16632,Africa's Best,Herbal Oil,,8oz,12
00334,16633,Africa's Best,Originals Cholesterol Tea Tree Oil,,15oz,12
00335,16636,Africa's Best,Originals Relaxer Kit Regular,Regular,,12
00336,16637,Africa's Best,Originals Relaxer Kit Super,Super,,12
00337,16639,Africa's Best,Originals Shea Butter & Tea Tree Oil Moisturizer,,6oz,12
00338,16640,Africa's Best,Originals Leave In Liquid Hair Mayonnaise,,6oz,12
00339,16641,Africa's Best,Originals Olive & Clove Oil Therapy,,6oz,12
00340,16642,Africa's Best,Super Gro Maximum,,5.25oz,12
00341,16643,Kid's Originals,Relaxer Kit Regular,Regular,,12
00342,16644,Kid's Organics,Relaxer Kit Coarse,Coarse,,12
00343,16672,Africa's Best,Originals Touch up Kit Regular,Regular,,12
00344,16673,Africa's Best,Originals Touch up Kit Super,Super,,12
00345,16679,Ultimate Originals,Skin Lotion,,12oz,12
00346,16682,Africa's Best,Super Gro Regular,,5.25oz,12
00347,16683,Africa's Best,Herbal Gro Super,,5.25oz,12
00348,16690,Africa's Best,Originals Tea Tree Shine,,6oz,12
00349,16691,Africa's Best,Braid Revitalizer,,6oz,12
00350,16692,Africa's Best,Carrot Oil Cream 7.5oz w/Free Olive Oil Cream 7.5oz,,,12
00351,16693,Africa's Best,Kids Organics Detangling Lotion 12oz w/Free Hair Pomade 4oz,,,12
00352,16695,Texture My Way,Texturizing & Softening System Kit,,,12
00353,16700,Africa's Best,Originals Olive Oil,,7.5oz+4.5oz,12
00354,16701,Africa's Best,Originals Carrot Oil,,7.5oz+4.5oz,12
00355,16702,Africa's Best,Olive Oil 7.5oz/Shea Butter 8oz,,,12
00356,16703,Africa's Best,Kids Organics Pomade 4oz/Gro Strong,,4oz,12
00357,16704,*Africa's Best,Originals Olive Oil 24pc Display,,,1
00358,16707,*Africa's Best,Men's Organics Texture My Way 28pc Display,,,1
00359,16714,Africa's Best,Hair Therapy 4oz w/free Cocoa Butter 4oz,,,12
00360,17302,Vitapointe,Tube,,1.75oz,12/72
00361,17303,Vitapointe,Creme Hairdress,,8oz,12
00362,17322,Clairol,Jazzing Hair Color,Ebony #94,3oz,6/48
00363,17451,Clairol,Ms. Clairol Hair Color,Black Velvet 51D,2oz,6/72
00364,17481,Clairol,Soy 4Plex Pure White 20 Standard Lift,,16oz,12
00365,17484,*Clairol,Lightening Activator Packets 24pc Display,,,1/12
00366,17493,Clairol,Shimmer Lights Conditioner,,16oz,12
00367,17495,Clairol,Shimmer Lights Shampoo,,16oz,12
00368,17496,*Clairol,BW2 Packets 1oz 12pc Display,,,1/12
00369,17689,Clairol,Metalex Conditioner,,12oz,12
00370,17690,Clairol,Soy 4Plex Pure White 30 Extra Lift,,16oz,12
00371,17691,Clairol,Soy 4Plex Pure White 40 Maximum Lift,,16oz,12
00372,17693,Clairol,Soy 4Plex Pure White 10 Gentle Lift,,16oz,12
00373,17697,Clairol,BW2 Powder Lightener,,8oz,12
00374,17801,Beautiful Collection,Hair Color,Champagne B01N,3oz,6/48
00375,17808,Beautiful Collection,Hair Color,Light Ash brown B08D,3oz,6/48
00376,17809,Beautiful Collection,Hair Color,Light Red brown BO9W,3oz,6/48
00377,17811,Beautiful Collection,Hair Color,Honey Brown B11W,3oz,6/48
00378,17812,Beautiful Collection,Hair Color,Medium Ash Brown B12D,3oz,6/48
00379,17813,Beautiful Collection,Hair Color,Medium Warm Brown,3oz,6/48
00380,17814,Beautiful Collection,Hair Color,Cedar Red Brown B13W,3oz,6/48
00381,17815,Beautiful Collection,Hair Color,Dark Warm Brown B15W,3oz,6/48
00382,17817,Beautiful Collection,Hair Color,Rosewood Brown B15W,3oz,6/48
00383,17818,Beautiful Collection,Hair Color,Darkest Brown B15W,3oz,6/48
00384,17820,Beautiful Collection,Hair Color,Black B15W,3oz,6/48
00385,17822,Beautiful Collection,Hair Color,Jet Black B15W,3oz,6/48
00386,17830,Beautiful Collection,Hair Color,14k Gold B15W,3oz,6/48
00387,17840,Beautiful Collection,Hair Color,Amethyst B15W,3oz,6/48
00388,17875,Beautiful Collection,Hair Color,Wine Brown B15W,3oz,6/48
00389,18200,Clairol,Textures & Tones Hair Color,Silk Black 1B,,3/12
00390,18201,Clairol,Textures & Tones Hair Color,Natural Black 1N,,3/12
00391,18202,Clairol,Textures & Tones Hair Color,Dark Brown 2N,,3/12
00392,18203,Clairol,Textures & Tones Hair Color,Cocoa Brown 3N,,3/12
00393,18204,Clairol,Textures & Tones Hair Color,Plum 3RV,,3/12
00394,18205,Clairol,Textures & Tones Hair Color,Red Hot 4R,,3/12
00395,18206,Clairol,Textures & Tones Hair Color,Cherrywood 4RC,,3/12
00396,18207,Clairol,Textures & Tones Hair Color,Burgundy 4RV,,3/12
00397,18208,Clairol,Textures & Tones Hair Color,Light Brown 5G,,3/12
